Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1958,Short Story General Collection,The Best American Short Stories 1958,Alphabetical,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,,Only,"Martha Foley, David Burnett"
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Everyday Use,Short Story,1973,1970s,Alice Walker,1944,1940s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Screamers,Short Story,1967,1960s,Amiri Baraka,1934,1930s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Solo on the Drums,Short Story,1947,1940s,Ann Petry,1911,1910s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,A Summer Tragedy,Short Story,1933,1930s,Arna Bontemps,1902,1900s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,How John Boscoe Outsung the Devil,Short Story,1947,1940s,Arthur P. Davis,,0s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,So Peaceful in the Country,Short Story,,0s,Carl Ruthven Offord,,0s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Goophered Grapevine,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Mama's Missionary Money,Short Story,,0s,Chester Himes,1909,1900s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Truant,Short Story,1932,1930s,Claude McKay,1889,1880s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Sky is Gray,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Marigolds,Short Story,,0s,Eugenia W. Collier,1928,1920s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,A Matter of Time,Short Story,1962,1960s,Frank London Brown,1927,1920s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Homecoming,Short Story,,0s,Frank Yerby,1916,1910s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Senegalese,Short Story,,0s,Hoyt W. Fuller,1923,1920s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,On Trains,Short Story,1969,1960s,James Alan McPherson,1943,1940s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Exodus,Short Story,1952,1950s,James Baldwin,1924,1920s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Wife,Short Story,,0s,Jennifer Jordan,,0s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Fighter,Short Story,,0s,John Caswell Smith,1946,1940s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Boy Who Painted Christ Black,Short Story,1940,1940s,John Henrik Clarke,1915,1910s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,God Bless America,Short Story,,0s,John O. Killens,1916,1910s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Overcoat,Short Story,,0s,John P. Davis,,0s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,One Friday Morning,Short Story,1941,1940s,Langston Hughes,1902,1900s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Concert,Short Story,,0s,"Lerone Bennett, Jr.",1928,1920s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Winds of Change,Short Story,,0s,Loyle Hairston,1926,1920s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Sarah,Short Story,,0s,Martin J. Hamer,1899,1890s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,See How They Run,Short Story,,0s,Mary Elizabeth Vroman,1924,1920s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Steady Going Up,Short Story,1972,1970s,Maya Angelou,1928,1920s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Lynching of Jube Benson,Short Story,,0s,Paul Laurence Dunbar,1872,1870s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Reena,Short Story,1983,1980s,Paule Marshall,1929,1920s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Bright and Morning Star,Short Story,1938,1930s,Richard Wright,1908,1900s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Jesse,Short Story,,0s,Rosemarie Robotham,,0s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The City of Refuge,Short Story,1925,1920s,Rudolph Fisher,1897,1890s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,And/Or,Short Story,,0s,Sterling Brown,1901,1900s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Organizer's Wife,Short Story,1977,1970s,Toni Cade Bambara,1939,1930s,Female,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,On Being Crazy,Short Story,1907,1900s,W.E.B. DuBois,1868,1860s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,Cry for Me,Short Story,1964,1960s,William Melvin Kelley,1937,1930s,Male,,2nd Ed,John Henrick Clarke
1966,Short Story Black Collection,American Negro Short Stories (Black American Short Stories),Chronological,The Gilded Six-Bit,Short Story,1933,1930s,Zora Neale Hurston,1891,1890s,Female,,2nd Ed,John Henrick Clarke
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Pocketbook Game,Short Story,1956,1950s,Alice Childress,1912,1910s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,To Hell With Dying,Short Story,1988,1980s,Alice Walker,1944,1940s,Female,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Checkerboard,Short Story,1959,1950s,Alston Anderson,1924,1920s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,A Summer Tragedy,Short Story,1933,1930s,Arna Bontemps,1902,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Sheriff's Children,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,A New Day,Short Story,1967,1960s,Charles Wright,1932,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Quietus ,Short Story,,0s,Charlie Russell,1932,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Marihuana and a Pistol,Short Story,1940,1940s,Chester Himes,1909,1900s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Old Blues Singers Never Die,Short Story,,0s,Clifford Vincent Johnson,,0s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,Mother to Son,Short Story,,0s,Conrad Kent Rivers,1933,1930s,Male,,1st Ed,Langston Hughes; Gloria Naylor
1967,Short Story Black Collection,The Best Short Stories by Black Writers 1899-1967,Chronological,The Beach Umbrella,Short Story,,0s,Cyrus Colter,1910,1910s,Male,,1st Ed,Langston Hughes; Gloria Naylor
